station,unit,start,finish,grams,wingband,seconds
WH201,7,14/11/2016 06:16:45,14/11/2016 06:19:06,-00066.00,3791149801713,000141
WH201,8,14/11/2016 06:17:34,14/11/2016 06:18:10,-00030.00,3791152901102,000036
WH201,3,14/11/2016 06:17:39,14/11/2016 06:20:07,-00041.00,3791149811409,000148
WH201,5,14/11/2016 06:17:50,14/11/2016 06:20:01,-00074.00,3791146701631,000131
WH201,1,14/11/2016 06:18:12,14/11/2016 06:18:45,-00007.00,3791152901702,000033
WH201,4,14/11/2016 06:18:20,14/11/2016 06:22:22,-00122.00,3791149811116,000242
WH201,8,14/11/2016 06:18:23,14/11/2016 06:18:46,-00003.00,3791146721438,000023
WH201,8,14/11/2016 06:19:00,14/11/2016 06:19:38,-00011.00,3791149811011,000038
WH201,2,14/11/2016 06:19:39,14/11/2016 06:23:24,-00149.00,3791149831222,000225
WH201,5,14/11/2016 06:20:07,14/11/2016 06:21:36,-00029.00,3791146701631,000089
WH201,3,14/11/2016 06:20:09,14/11/2016 06:21:05,-00015.00,3791149811409,000056
WH201,8,14/11/2016 06:20:33,14/11/2016 06:20:53,-00004.00,3791149811011,000020
WH201,6,14/11/2016 06:20:44,14/11/2016 06:21:12,-00036.00,3791152931502,000028
WH201,6,14/11/2016 06:21:22,14/11/2016 06:22:17,-00026.00,3791152931502,000055
WH201,5,14/11/2016 06:21:42,14/11/2016 06:23:27,-00032.00,3791146701631,000105
WH201,1,14/11/2016 06:21:43,14/11/2016 06:22:21,-00017.00,3791146741131,000038
WH201,7,14/11/2016 06:21:46,14/11/2016 06:22:32,-00038.00,3791149801713,000046
WH201,3,14/11/2016 06:22:04,14/11/2016 06:24:05,-00053.00,3791152951402,000121
WH201,1,14/11/2016 06:22:46,14/11/2016 06:24:39,-00034.00,3791152951006,000113
WH201,4,14/11/2016 06:23:35,14/11/2016 06:23:48,-00001.00,3791149811409,000013
WH201,2,14/11/2016 06:23:35,14/11/2016 06:25:01,-00048.00,3791146741623,000086
WH201,7,14/11/2016 06:23:44,14/11/2016 06:24:51,-00036.00,3791149801713,000067
WH201,4,14/11/2016 06:24:01,14/11/2016 06:27:15,-00134.00,3791152941601,000194
WH201,5,14/11/2016 06:24:03,14/11/2016 06:24:40,-00009.00,3791146701631,000037
WH201,6,14/11/2016 06:24:24,14/11/2016 06:28:15,-00123.00,3791152931502,000231
WH201,8,14/11/2016 06:24:34,14/11/2016 06:24:59,-00006.00,3791149811115,000025
WH201,5,14/11/2016 06:25:03,14/11/2016 06:26:31,-00023.00,3791152951001,000088
WH201,7,14/11/2016 06:25:14,14/11/2016 06:27:12,-00103.00,3791149811011,000118
WH201,8,14/11/2016 06:25:23,14/11/2016 06:26:43,-00025.00,3791143641140,000080
WH201,3,14/11/2016 06:26:00,14/11/2016 06:26:57,-00046.00,3791146701228,000057
WH201,5,14/11/2016 06:26:43,14/11/2016 06:31:04,-00084.00,3791152951001,000261
WH201,2,14/11/2016 06:26:53,14/11/2016 06:27:31,-00016.00,3791152951005,000038
WH201,3,14/11/2016 06:27:01,14/11/2016 06:28:34,-00043.00,3791146701228,000093
WH201,2,14/11/2016 06:27:34,14/11/2016 06:30:44,-00106.00,3791152951005,000190
WH201,7,14/11/2016 06:27:38,14/11/2016 06:29:03,-00091.00,3791146701025,000085
WH201,8,14/11/2016 06:27:40,14/11/2016 06:27:57,-00007.00,3791149811010,000017
WH201,8,14/11/2016 06:28:07,14/11/2016 06:28:58,-00015.00,3791146701026,000051
WH201,4,14/11/2016 06:28:33,14/11/2016 06:29:14,-00028.00,3791143611045,000041
WH201,6,14/11/2016 06:28:58,14/11/2016 06:29:59,-00033.00,3791149811010,000061
